rotten_tomatoes_link,movie_title,content_rating,genre,directors,original_release_date,streaming_release_date,runtime,production_company,audience_rating,audience_count
m/0814255,Percy Jackson & the Olympians: The Lightning Thief,PG,ACTION & ADVENTURE,Chris Columbus,2010-02-12,2015-11-25,119,20th Century Fox,53,254421
m/0878835,Please Give,R,COMEDY,Nicole Holofcener,2010-04-30,2012-09-04,90,Sony Pictures Classics,64,11574
m/10,10,R,COMEDY,Blake Edwards,1979-10-05,2014-07-24,122,Waner Bros.,53,14684
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),NR,DRAMA,Sidney Lumet,1957-04-13,2017-01-13,95,Criterion Collection,97,105386
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea",G,ACTION & ADVENTURE,Richard Fleischer,1954-01-01,2016-06-10,127,Disney,74,68918
m/10000_bc,"10,000 B.C.",PG-13,ACTION & ADVENTURE,Roland Emmerich,2008-03-07,2013-06-22,109,Warner Bros. Pictures,37,411140
m/1000121-39_steps,The 39 Steps,NR,ACTION & ADVENTURE,Alfred Hitchcock,1935-08-01,2017-01-12,80,Gaumont British Distributors,86,23890
m/1000123-310_to_yuma,3:10 to Yuma,NR,DRAMA,Delmer Daves,1957-08-07,2012-04-16,92,Columbia Pictures,79,9243
m/10002008-charly,Charly (A Heartbeat Away),PG,COMEDY,Adam Thomas Anderegg,2002-09-27,2017-05-22,103,Excel Entertainment,87,4819
m/1000204-abraham_lincoln,Abraham Lincoln,NR,DRAMA,D.W. Griffith,1930-11-08,2013-12-03,97,United Artists,40,457
m/10002114-dark_water,Dark Water,PG-13,HORROR,Hideo Nakata,2002-01-19,2017-03-23,100,Toho Company Ltd,66,21475
m/1000224-accused,The Accused,R,DRAMA,Jonathan Kaplan,1988-10-14,2016-10-04,110,Paramount Pictures,79,20821
m/10002516-lost_city,The Lost City,R,DRAMA,Andy Garcia,2005-09-03,2017-03-23,143,Magnolia Pictures,64,25944
m/10002519-breaking_point,The Breaking Point,NR,DRAMA,Michael Curtiz,1950-10-06,2016-08-25,97,Warner Home Video,86,335
m/1000253-adams_rib,Adam's Rib,NR,COMEDY,George Cukor,1949-11-18,2008-05-01,101,MGM Home Entertainment,86,10563
m/10002635-bridge_of_san_luis_rey,The Bridge of San Luis Rey,PG,DRAMA,Mary McGuckian,2005-06-10,2014-07-24,124,Fine Line Features,35,1935
m/10002673-prowler,The Prowler (Cost of Living ),PG,DRAMA,Joseph Losey,1951-12-03,2016-12-05,92,VCI Entertainment,86,286
m/10003276-criminal,Criminal,R,DRAMA,"Greggory Jacobs, Gregory Jacobs, Greg Jacobs",2004-09-24,2016-04-27,87,Warner Bros. Pictures,57,6711
m/1000334-adventures_of_mark_twain,The Adventures of Mark Twain,G,ACTION & ADVENTURE,Will Vinton,1985-03-01,2017-02-04,86,Eureka Entertainment Ltd,82,1046
m/1000355-adventures_of_robin_hood,The Adventures of Robin Hood,PG,ACTION & ADVENTURE,"Michael Curtiz, William Keighley",1938-05-14,2014-01-23,102,Warner Bros.,89,33946
m/10003876-man_hunt,Man Hunt,NR,DRAMA,Fritz Lang,1941-01-01,2014-03-01,100,Twentieth Century Fox,75,554
m/10003925-dead_end,Dead End,R,COMEDY,"Jean-Baptiste Andrea, Fabrice Canepa, Jean-Bapiste Andrea",2003-09-26,2018-12-11,83,LionsGate Entertainment,60,10373
m/10004050-bandwagon,Bandwagon,R,COMEDY,John Schultz,1997-09-12,,103,Avalanche Entertainment,91,386
m/10004069-whore,Whore,R,DRAMA,María Lidón,2004-04-16,2014-02-04,77,Dolores Pictures LLC,63,914
m/10004209-tristan_and_isolde,Tristan & Isolde,PG-13,DRAMA,Kevin Reynolds,2006-01-13,2015-11-25,126,20th Century Fox,71,220956
m/10004226-wild_side,Wild Side,NR,DRAMA,Sébastien Lifshitz,2005-06-10,2005-10-25,94,Wellspring,80,867
m/10004232-10004232-tale_of_two_pizzas,A Tale of Two Pizzas,PG,COMEDY,Vincent Sassone,2003-11-07,2018-01-16,82,,,
